Nr sklepu;Sklep;Odpad;Kod odpadu pojemnika;Inny kod
8066;Jelenia Góra;p³yty OSB i meblowe, panele pod³ogowe, deski kompozytowe, blaty wykonane z materia³ów innych ni¿ drewno;03 01 05 - Trociny, wióry, œcinki, drewno, p³yta wiórowa i fornir inne ni¿ wymienione w 03 01 04;
8066;Jelenia Góra;P³yty G/K;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Produkty z betonu, ceramika, np. p³ytki, bloczki;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8066;Jelenia Góra;"""Pudry"", np. cement, kleje do p³ytek, fugi";17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8066;Jelenia Góra;"""Pudry"" bez opakowañ";17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8066;Jelenia Góra;Roœliny;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8066;Jelenia Góra;Silikony i akryle do spoinowania;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Styropian i we³na mineralna;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Szk³o, np. szyby , luksfery;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Towary z miksu materia³ów, nie zawieraj¹ce elektroniki, np. kabiny prysznicowe, narzêdzia rêczne itp.;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Towary z tworzyw sztucznych, np. pojemniki;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Ziemia, torf;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;Inne, nie wymienione powy¿ej, nie bêd¹ce: makulatur¹, foli¹, drewnem, metalem, art. niebezpiecznymi, np. papa…;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8066;Jelenia Góra;TEST;Inny;07 02 13 - Odpady tworzyw sztucznych
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
8066;Jelenia Góra;;;
