Nr sklepu;Sklep;Odpad;Kod odpadu pojemnika;Inny kod
8054;Cieszyn Graniczna 80;p³yty OSB i meblowe, panele pod³ogowe, deski kompozytowe, blaty wykonane z materia³ów innych ni¿ drewno;Inny;15 01 03 - Opakowania z drewna
8054;Cieszyn Graniczna 80;P³yty G/K;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8054;Cieszyn Graniczna 80;Produkty z betonu, ceramika, np. p³ytki, bloczki;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8054;Cieszyn Graniczna 80;"""Pudry"", np. cement, kleje do p³ytek, fugi";17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8054;Cieszyn Graniczna 80;"""Pudry"" bez opakowañ";17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8054;Cieszyn Graniczna 80;Roœliny;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Silikony i akryle do spoinowania;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Styropian i we³na mineralna;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Szk³o, np. szyby , luksfery;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Towary z miksu materia³ów, nie zawieraj¹ce elektroniki, np. kabiny prysznicowe, narzêdzia rêczne itp.;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Towary z tworzyw sztucznych, np. pojemniki;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Ziemia, torf;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;Inne, nie wymienione powy¿ej, nie bêd¹ce: makulatur¹, foli¹, drewnem, metalem, art. niebezpiecznymi, np. papa…;15 01 06 - Zmieszane odpady opakowaniowe;
8054;Cieszyn Graniczna 80;przek³adki z MDF, HDF i p³yta wiórowa ciête na wymiar 120*80 do dyspozycji klientów;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
8054;Cieszyn Graniczna 80;;;
