Nr sklepu;Sklep;Odpad;Kod odpadu pojemnika;Inny kod
8018;Bielsko-Bia³a Warszawska 186;p³yty OSB i meblowe, panele pod³ogowe, deski kompozytowe, blaty wykonane z materia³ów innych ni¿ drewno;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;P³yty G/K;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8018;Bielsko-Bia³a Warszawska 186;Produkty z betonu, ceramika, np. p³ytki, bloczki;17 01 07 - Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;
8018;Bielsko-Bia³a Warszawska 186;"""Pudry"", np. cement, kleje do p³ytek, fugi";16 03 04 - Nieorganiczne odpady inne ni¿ wymienione w 16 03 03, 16 03 80;
8018;Bielsko-Bia³a Warszawska 186;"""Pudry"" bez opakowañ";;
8018;Bielsko-Bia³a Warszawska 186;Roœliny;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;Silikony i akryle do spoinowania;16 03 04 - Nieorganiczne odpady inne ni¿ wymienione w 16 03 03, 16 03 80;
8018;Bielsko-Bia³a Warszawska 186;Styropian i we³na mineralna;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;Szk³o, np. szyby , luksfery;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;Towary z miksu materia³ów, nie zawieraj¹ce elektroniki, np. kabiny prysznicowe, narzêdzia rêczne itp.;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;Towary z tworzyw sztucznych, np. pojemniki;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;Ziemia, torf;15 01 06 - Zmieszane odpady opakowaniowe;
8018;Bielsko-Bia³a Warszawska 186;Inne, nie wymienione powy¿ej, nie bêd¹ce: makulatur¹, foli¹, drewnem, metalem, art. niebezpiecznymi, np. papa…;16 03 04 - Nieorganiczne odpady inne ni¿ wymienione w 16 03 03, 16 03 80;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
8018;Bielsko-Bia³a Warszawska 186;;;
