Nr sklepu;Sklep;Odpad;Kod odpadu pojemnika;Inny kod
8092;Bytom Jeziorañskiego 27;p³yty OSB i meblowe, panele pod³ogowe, deski kompozytowe, blaty wykonane z materia³ów innych ni¿ drewno;17 09 04 - Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;
8092;Bytom Jeziorañskiego 27;P³yty G/K;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;Produkty z betonu, ceramika, np. p³ytki, bloczki;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;"""Pudry"", np. cement, kleje do p³ytek, fugi";17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;"""Pudry"" bez opakowañ";17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;Roœliny;Inny;20 03 99 - Odpady komunalne niewymienione w innych podgrupach
8092;Bytom Jeziorañskiego 27;Silikony i akryle do spoinowania;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;Styropian i we³na mineralna;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;Szk³o, np. szyby , luksfery;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;Towary z miksu materia³ów, nie zawieraj¹ce elektroniki, np. kabiny prysznicowe, narzêdzia rêczne itp.;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;Towary z tworzyw sztucznych, np. pojemniki;Inny;20 03 99 - Odpady komunalne niewymienione w innych podgrupach
8092;Bytom Jeziorañskiego 27;Ziemia, torf;Inny;20 03 99 - Odpady komunalne niewymienione w innych podgrupach
8092;Bytom Jeziorañskiego 27;Inne, nie wymienione powy¿ej, nie bêd¹ce: makulatur¹, foli¹, drewnem, metalem, art. niebezpiecznymi, np. papa…;17 01 01 - Odpady betonu oraz gruz betonowy z rozbiórek i remontów;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
8092;Bytom Jeziorañskiego 27;;;
