8070;Racibórz Rybnicka 95;R05;16 02 13*;0,12
8070;Racibórz Rybnicka 95;R05;15 01 01;28,24
8070;Racibórz Rybnicka 95;R05;07 04 80*;0,08
8070;Racibórz Rybnicka 95;R05;15 01 02;10,04
8060;Pu³awy Fieldorfa Nila 20;R06;17 04 05;4,41
8060;Pu³awy Fieldorfa Nila 20;R06;16 03 03*;0,74
8060;Pu³awy Fieldorfa Nila 20;R06;08 01 12;1,23
8060;Pu³awy Fieldorfa Nila 20;R06;16 02 14;0,02
8060;Pu³awy Fieldorfa Nila 20;R06;17 01 07;33,20
8060;Pu³awy Fieldorfa Nila 20;R06;15 01 03;45,20
8060;Pu³awy Fieldorfa Nila 20;R06;15 01 04;0,01
8060;Pu³awy Fieldorfa Nila 20;R06;15 01 01;16,96
8060;Pu³awy Fieldorfa Nila 20;R06;15 01 02;5,94
8052;Przemyœl Lwowska 17;R06;17 04 05;1,39
8052;Przemyœl Lwowska 17;R06;17 01 01;23,88
8052;Przemyœl Lwowska 17;R06;15 01 10*;0,01
8052;Przemyœl Lwowska 17;R06;16 03 03*;0,03
8052;Przemyœl Lwowska 17;R06;16 02 14;0,28
8052;Przemyœl Lwowska 17;R06;03 01 05;3,20
8052;Przemyœl Lwowska 17;R06;13 02 08*;0,02
8052;Przemyœl Lwowska 17;R06;15 01 03;33,74
8052;Przemyœl Lwowska 17;R06;16 02 13*;0,01
8052;Przemyœl Lwowska 17;R06;15 01 01;18,38
8052;Przemyœl Lwowska 17;R06;15 01 02;5,59
8003;Poznañ Murawa 39;R04;17 04 05;5,24
8003;Poznañ Murawa 39;R04;08 01 12;0,01
8003;Poznañ Murawa 39;R04;16 03 05*;1,11
8003;Poznañ Murawa 39;R04;16 02 14;0,15
8003;Poznañ Murawa 39;R04;17 01 07;54,84
8003;Poznañ Murawa 39;R04;03 01 05;15,80
8003;Poznañ Murawa 39;R04;15 01 06;36,98
8003;Poznañ Murawa 39;R04;15 01 03;87,26
8003;Poznañ Murawa 39;R04;15 01 01;48,62
8003;Poznañ Murawa 39;R04;15 01 02;12,84
8131;Pabianice Grota Roweckiego 8A;R01;17 04 05;1,48
8131;Pabianice Grota Roweckiego 8A;R01;15 01 06;12,59
8131;Pabianice Grota Roweckiego 8A;R01;17 01 07;3,90
8131;Pabianice Grota Roweckiego 8A;R01;03 01 05;0,10
8131;Pabianice Grota Roweckiego 8A;R01;15 01 03;17,19
8131;Pabianice Grota Roweckiego 8A;R01;15 01 01;17,69
8131;Pabianice Grota Roweckiego 8A;R01;15 01 02;6,63
8103;Oœwiêcim Zatorska 1;R02;17 04 05;6,86
8103;Oœwiêcim Zatorska 1;R02;17 01 01;17,96
8103;Oœwiêcim Zatorska 1;R02;15 01 10*;0,25
8103;Oœwiêcim Zatorska 1;R02;17 02 01;36,38
8103;Oœwiêcim Zatorska 1;R02;16 02 14;0,82
8103;Oœwiêcim Zatorska 1;R02;16 03 04;0,38
8103;Oœwiêcim Zatorska 1;R02;17 09 04;22,95
8103;Oœwiêcim Zatorska 1;R02;03 01 05;0,79
8103;Oœwiêcim Zatorska 1;R02;08 01 11*;0,15
