Store;Name;Region;17 09 04;15 01 03;15 01 02;15 01 01;17 04 05;16 02 13*;16 02 14;16 03 06;16 06 05;16 02 16;07 04 80*;16 03 05*;07 04 81;16 06 04;02 01 08*;20 03 07;20 01 36;17 09 03*;17 01 07;02 01 03;03 01 05;17 01 03;17 01 02;15 01 10*;15 01 11*;13 02 08*;17 01 01;15 01 06;17 04 07;16 03 03*;17 02 03;08 01 12;16 03 04;15 02 02*;16 02 11*;15 02 03;08 01 11*;20 02 01;13 07 03*;17 06 04;16 01 03;16 01 19;20 01 21*;13 02 05*;07 04 04*;20 03 99;08 03 18;15 01 04;17 04 02;17 02 01;16 06 01*;13 03 07*;07 02 13;20 01 29*;17 04 01;20 01 34;17 03 80;15 01 05;15 01 07;20 01 02;20 01 38;16 02 15*;03 01 04*;14 06 03*;20 01 35*;20 02 03;19 12 01;08 04 09*;08 04 10;20 03 01;17 02 02;15 01 09;20 01 39;06 13 01*;17 01 82;20 01 19*;17 08 02;20 01 01
8076;Nowy S¹cz Wêgierska 78;R06;;95,26;8,2;22,14;;0,089;0,046;;;;;;0,15;;;;;;28,38;;;;;;;;18,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8067;Stare Miasto Ogrodowa 31;R01;;80,32;8,96;26,48;;;0,043;;;;;;0,07;;;;;;37,9;;;;;0,27;;;;;3,647;0,58;;;;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8115;Swarzêdz Sienkiewicza 23;R04;;25,92;2,18;26,89;1,5;0,108;0,227;;;;;0,732;;;;;;;34,78;;;;;;;;;51,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8056;Zgorzelec Jeleniogórska 77;R03;;12,18;9,93;36,46;1,25;;0,634;;;;;0,558;;;;;;;62,86;1,36;1,76;;;0,324;0,013;;24,62;21,42;;;;;;;;0,137;;;;;;;;;;;;;;13,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8097;Zamoœæ Dzieci Zamojszczyzny 4;R06;;102,64;7,2;18,36;6,63;0,068;0,539;0,235;0,01;;;;;0,01;;;;;17,42;;1,619;;;;;;51,25;;;0,235;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8006;Wroc³aw Legnicka 58;R03;24,01;24,95;6,4;33,75;;;0,355;;;;;;;;;;;;;;1,2;;;;;;21,78;5,2;3,191;;;;1,94;;;;0,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8009;Wroc³aw Krzywoustego 126;R03;31,14;16,82;5,93;35,74;;;0,133;;;;;;;;;;;;;;;;;0,008;;0,08;;34,5;2,454;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8094;Wroc³aw Graniczna 2a;R03;66,98;55,12;9,12;24,82;;;0,087;;;;;0,28;;;;;;;;;;;;0,02;0,04;0,02;;;1,46;;;;;;;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8036;W³oc³awek, Kapitulna 41a;R01;39,04;4,26;5,76;19,48;2,84;;0,103;;;;;;;;;;;;8,38;;24,68;;;1,5;;;;14,92;;;;;;;;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8002;Warszawa Popularna 71;R08;142,618;8,56;9;66,53;6,6;;0,17;;;;;;;;;;;;;;;;;0,52;;;;72,64;;;;;;;;0,15;;;;;;;;;;;;;;;;;;;;;;14,48;0,69;;;;;;;;;;;;;;;;;;;
8034;Warszawa Krakowska 75;R08;2,15;;5,58;40,18;6,82;;0,23;;;;;0,085;;;;;;;139,09;;;;;;;;;13,77;;;0,21;;0,065;;;;;;;;;;;;;;;;;70,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8061;Warszawa Grochowska 21;R08;22,52;4,22;0,7;26,86;;;0,119;;;;;;;;;;;;74,54;;;;;;0,22;;;;2,7;;;;;;;0,32;;;;;;;;;;;;;;38,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8106;Warszawa Górczewska 124;R08;89,84;2,79;7,32;36,78;;;0,312;;;;;;;;;;;;;;1,2;;;0,62;;;;;;;0,98;;;;;0,08;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8005;Warszawa G³êbocka 15A;R08;29,36;44,32;11,12;65,84;;;1,281;;;;;;;;;;;;128,83;;;;;1,38;;0,06;;82,7;;;;;;;;0,24;;;;;;;;;;;;6,4;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;
8045;Walbrzych Wieniawskiego 21;R03;64,84;35,54;8,1;34,62;;0,14;0,517;2,2;;0,052;;;0,08;;;;;;40,24;;;;;0,46;;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8021;Toruñ ¯wirki i Wigury 88;R07;;10,9;3,44;12,32;;;;;;;;0,455;;;;;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8111;Toruñ Szosa Bydgoska 102A;R07;80,248;31,52;5,88;22,1;4,63;;0,072;;;;;1,46;;;;;;;;;;;;;;;;;;;;;0,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8064;Tarnowskie Góry Obwodnica 16;R05;;80,64;10,92;39,94;4,625;0,097;1,112;;;0,072;0,03;;;;;;;;;;2,89;;;0,02;;;72,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8077;Tarnów Nowod¹browska 127;R06;41,78;;3,88;17,92;1,08;;0,017;;;;;;;;;;;;;;30,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8059;Szczecin Wiosenna 80;R04;;156,8;5,935;27,57;;;0,053;;;;;;;;;;;;;;;;;;;;;3,2;;;;;86,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8046;Szczecin Po³udniowa 21;R04;;82,5;6,95;26,93;1;;;;;;;;;;;;;;60,813;;;;;;;;;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8014;Szczecin Ku S³oñcu 67B;R04;;317,2;8,88;39,23;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;132,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,562;;;;;;;;;;;;;
8072;Stargard Szczeciñski Koœciuszki 73a;R04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8039;Zielona Góra Wojska Polskiego 19;R04;81,28;26,71;15,48;39,18;61,93;0,125;;;;;0,36;;;;;;;;;1,34;1,74;;;;;;;37,65;;;;;;;;0,1;;;;;;;;;;;;;0,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8099;Miñsk Mazowiecki Warszawska 63B;R08;;12,64;11,31;32,19;;;0,053;;;;0,103;0,657;;;;;;;;;59,03;;;;;;40,83;;1,68;;;;;;;0,3;0,255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Magazyn Centralny DC2 Kie³mina ;;;30,52;;;;;2,14;;;;;;;;;;;;1,15;;;;;;;;;;;;;;16,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8030;Gliwice Pszczyñska 315;R05;;55,64;6,39;24,23;;0,05;0,737;;;;0,097;;;;;;;;;;0,94;;;0,47;;;29,86;;1,646;;;;;0,04;;0,12;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8008;Gdañsk Odyseusza 2;R07;165,06;56,54;13,21;54,87;5,54;;0,054;;;;;2,316;;;;;;;31,98;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8047;Gdañsk Grunwaldzka 262;R07;167,56;;9;31,72;8,92;;0,0322;;;;0,006;0,33;;;;;;;;;;;;;;;;;;;;;;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8089;E³k Ciep³a 2;R08;88,24;67;7,88;24,86;2,14;0,12;0,56;;;;;;;0,165;;;;;;;;;;0,165;;;;;4,8;;;;;;;;;;;;;;;;;;0,045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8086;Elbl¹g ¯u³awska 25;R08;97,74;74,44;12,82;34,78;3;;0,09;;;0,058;0,095;0,883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Dobra Wodna 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8025;Czêstochowa Jana Paw³a II 2;R01;;94,7;17,31;42,8;;;1,977;0,48;;;;;0,145;;;;;;112,26;;;;;;;;43;;;;;;;;;;;;;;;;;;;;;5,89;;12,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8054;Cieszyn Graniczna 80;R02;;8,09;12,025;39,384;;;0,018;;;;;;;;;;;;42,78;;;;;;0,002;;76,12;149,26;3,5;;;;;;;;0,253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,044;;;;;;;;;;
8043;Chorzów Sportowa 31;R05;;68,02;7,16;25,82;2,46;0,02;0,017;;;;;;;;;;;;56,92;;;;;;;;;50,26;;0,622;;;;;;;;;;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8108;Che³m Rejowiecka 179A;R06;;49,74;7,86;27,54;0,97;;0,03;0,236;;;;0,37;;;;;;;39,96;;;;;;;0,129;;;;0,32;7,5;;;;;;;0,76;;1,16;;;;;;;;;;20,56;;;;;;;;;;;;;;;;;;;;1,88;0,8;;;;;;;
8101;Castorama Siedlce £ukowska 113 ;R08;48,86;21,8;9,21;30,59;2,2;;0,042;;;;0,16;;;;;;;;;;31,86;;;;;;;29,38;;;;;;0,289;;;1,605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8135;Castorama Ruda Œl¹ska ;R05;;25,72;9,75;26,67;1,8;;0,042;;;;;;0,287;;;;;;55,76;;;;;0,059;0,088;;;28,14;;;;;;;;;1,021;;0,096;;;;;;;;;;;;;;;;;;;36,76;;;;;;;;;;;0,078;;;;;;;;;
8130;Castorama Ciechanów;R08;69,55;;4,64;19,24;;;0,184;;;;;0,24;;;;;;;;;;;;;;;;;;0,254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8066;Castorama;R03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8092;Bytom Jeziorañskiego 27;R05;10;58,6;7,06;24,32;4,06;;;;;0,055;;;;;;;;;;;;;;;;;60,72;;;;;0,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8013;Bydgoszcz Szubiñska 5;R07;;38,84;13,53;46,74;;;1,627;0,48;;;;1,78;;;;;;;83,58;;27,08;;;;;;;;3,77;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8078;Bydgoszcz Szajnochy 1;R07;55,24;27,2;7,22;24,74;0,9;;0,256;;;;;4,225;0,2;;;;;;;;2,4;;;;;;;;;;;;;;;0,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8018;Bielsko-Bia³a Warszawska 186;R02;;20,82;15,172;44,181;7,34;0,047;0,714;;;;;;;;;;;;42,08;;;;;1,76;;;;111,38;;;;;32,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8012;Bielany Czekoladowa 3;R03;133,54;51,82;8,93;45,5;3,81;;0,278;;;;;0,04;;;;;;;;;0,08;;;;;;40,48;9,74;;0,09;;;0,38;;;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,06;;;;;;;;;;
8049;G³ogów Poniatowskiego 10;R03;;19,2;8,11;21,38;4,45;;0,889;3,86;0,012;0,048;;;;;;;;;63,44;;11,7;;;0,02;;0,05;;6,72;;0,17;;;;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Magazyn Dzia³kowa Castorama ;;8,94;;;;;;;;;;;;;;;;;;;;;;;;;;;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8096;Gniezno Pa³ucka 1;R04;;;2,48;25;0,175;;0,068;;;;;;;;;;;;47,04;;;;;;;;;2,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8129;Grudzi¹dz Konarskiego 47;R07;57,59;35,16;7,04;28,18;0,45;;0,048;;;;;;;;;;;;43;;;;;;;;;;;;;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,108;;;;
0;Magazyn Centralny DC1 Dobra;;;;;;;;1,691;;;;;;;;;;;;0,09;;;;;;;;;;;;;;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8017;Lublin Me³giewska 16C;;;80,04;11,34;27,78;8,59;0,181;1,286;;;;;;;0,588;;;0,1;;86,22;;2,22;;;;;;;;;1,295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8048;Lubin KEN 1;R03;;16,86;8,64;29,04;8,014;;1,433;1,46;;;;0,2;;;;;;;82,76;;35,96;;;0,01;;;;;;;;;;;;0,09;;;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,96;;;
8063;£ódŸ Wydawnicza 13;R01;;21,86;7,6;25,66;;;;;;;0,07;0,1;;;;;;;54;;20,14;;;0,12;0,02;;;38,72;;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8020;£ódŸ Wróblewskiego 31;R01;;50,82;13,41;50,02;2,545;;;;;;;;;;;;;;66,85;;80;;;;;;;48,35;;0,719;;0,054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8023;£ódŸ Sikorskiego 2;R01;;;13,42;38,92;7,135;;;;;;;;;;;;;;48;;84,06;;;;;;;46,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8095;Leszno Konstytucji 3 Maja 12;R03;;33,05;8,98;22,01;1,99;0,123;0,274;;;;;;;;;;;;88,59;;;;;;;;;9,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8041;Legnica Schumana 9;R03;;12,47;7,35;32,38;4,7;;1,294;;;0,03;;;;;;;;;79,26;2,58;3,38;;;0,01;;;4,28;11,59;;0,035;;;;0,045;;;0,045;;;;;;;;;;;;;7,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8011;Kraków Zakopiañska 62A;R02;;85,9;9,8;35,56;5,24;;0,072;;;;;;;;;;;;96,72;;2,06;;;0,896;;;;67,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8042;Kraków Walerego S³awka 1;R02;;42,14;6,1;20,98;3,43;;;;;;;;;;;;;;84,28;;1,46;;;1,306;;;;12,12;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8019;Kraków Sosnowiecka 147;R02;;70,38;10,23;34,98;6,93;;0,068;;;;;;;;;;;;86,38;;1,5;;;0,474;;;;17;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
