Store;Name;Region;17 09 04;15 01 03;15 01 02;15 01 01;17 04 05;16 02 13*;16 02 14;16 03 06;16 06 05;16 02 16;07 04 80*;16 03 05*;07 04 81;16 06 04;02 01 08*;20 03 07;20 01 36;17 09 03*;17 01 07;02 01 03;03 01 05;17 01 03;17 01 02;15 01 10*;15 01 11*;13 02 08*;17 01 01;15 01 06;17 04 07;16 03 03*;17 02 03;08 01 12;16 03 04;15 02 02*;16 02 11*;15 02 03;08 01 11*;20 02 01;13 07 03*;17 06 04;16 01 03;16 01 19;20 01 21*;13 02 05*;07 04 04*;20 03 99;08 03 18;15 01 04;17 04 02;17 02 01;16 06 01*;13 03 07*;07 02 13;20 01 29*;17 04 01;20 01 34;17 03 80;15 01 05;15 01 07;20 01 02;20 01 38;16 02 15*;03 01 04*;14 06 03*;20 01 35*;20 02 03;19 12 01;08 04 09*;08 04 10;20 03 01;17 02 02;15 01 09;20 01 39;06 13 01*;17 01 82;20 01 19*;17 08 02;20 01 01
0;Castorama Olsztyn;;53,7;46,78;8,18;23,88;2,72;;0,024;;;;;;;;;;;;;;;;;2,5;;;;15,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama Starogard Gdañski Zblewska 5;;53,96;38,92;6,11;21,27;1,3;;0,035;;;;;;;;;;;;;;;;;0,775;;;;;;;1,02;;;;;;;;;0,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama Tychy ;;15,06;34,96;7,12;27,9;1,555;;0,055;;;;;0,6;0,17;;;;;;;;;;;0,145;;;;52,54;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama Rzeszów II;;10,4;16,62;9,868;45,93;3,995;;0,044;;;;;;0,088;;;;;;33,85;;23,04;;;0,172;;0,012;;;;1,343;;;1,727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama Smart Ostrów Wielkopolski;;;;0,41;3,69;;;;;;;;;;;;;;;;;;;;;;;11,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama Stargard Województwo: ZACHODNIOPOMORSKIE Powiat: stargardzki Gmina: Stargard Miejscowoœæ: Lipnik ul Stargardzka;;;138,1;5,08;28,97;;;0,032;;;;;;;;;;;;;;;;;;;;96,1;;1,725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Rzeszów Al. Powstañców Warszawy 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Œwinoujœcie Smart Wojska Polskiego 96;;;;1,01;5,64;;;;;;;;;;;;;;;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;¯ary Broni Pancernej 15;;;44,65;6,34;18,26;1,24;;0,182;;;;;;;;;;;;53,34;3,58;21,6;;;;;;;;;;;;;;;;0,28;;;4,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Magazyn Centralny DC3;;;23,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama P³ock;;67,02;;3,13;15,4;;;0,374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama Stalowa Wola;;;32,86;4,956;11,49;;0,112;0,127;;;;0,01;;;;;;;;97,48;;;;;0,2;0,32;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;M³awa Castorama Smart;;;;;;;;;;;;;;;;;;;;22,76;;;;;;;;;10,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Otwock ul. Ryszarda Kukliñskiego;;;;0,8;31,44;;;0,031;;;;;0,928;;;;;;;;;27,31;;;;;;29,04;;0,3;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Augustów Mazurska 10;;2;;0,55;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Castorama  K³odzko;;9,07;7,04;5,84;25,55;;;;;;;;;;;;;;;3,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;£om¿a Al. Pi³sudskiego 135;;;;2,92;4,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;P³ock ul Bielska 59 A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Warszawa Ursus Castorama Express;;1,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Warszawa Bartycka 26;;21,46;;1,26;9,9;;;;;;;;;;;;;;;70,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;Piaseczno Przedsiêbiorców 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
